"image_filename, cluster_id"
image_213.jpg,20
image_039.jpg,19
image_005.jpg,2
image_011.jpg,18
image_010.jpg,12
image_004.jpg,24
image_038.jpg,14
image_212.jpg,25
image_206.jpg,11
image_400.jpg,24
image_366.jpg,7
image_372.jpg,25
image_399.jpg,6
image_164.jpg,5
image_170.jpg,6
image_158.jpg,12
image_199.jpg,13
image_166.jpg,11
image_172.jpg,5
image_358.jpg,14
image_364.jpg,7
image_402.jpg,11
image_370.jpg,2
image_238.jpg,3
image_210.jpg,21
image_204.jpg,24
image_012.jpg,21
image_006.jpg,15
image_007.jpg,25
image_013.jpg,22
image_205.jpg,24
image_211.jpg,8
image_239.jpg,23
image_371.jpg,18
image_365.jpg,24
image_403.jpg,25
image_359.jpg,6
image_173.jpg,21
image_167.jpg,18
image_198.jpg,12
image_188.jpg,20
image_163.jpg,24
image_177.jpg,9
image_361.jpg,7
image_375.jpg,13
image_349.jpg,15
image_215.jpg,6
image_201.jpg,22
image_229.jpg,14
image_017.jpg,3
image_003.jpg,21
image_002.jpg,11
image_016.jpg,15
image_228.jpg,22
image_200.jpg,3
image_214.jpg,19
image_348.jpg,9
image_374.jpg,15
image_360.jpg,21
image_176.jpg,4
image_162.jpg,7
image_189.jpg,8
image_174.jpg,9
image_160.jpg,22
image_148.jpg,19
image_389.jpg,24
image_376.jpg,20
image_362.jpg,21
image_404.jpg,12
image_202.jpg,15
image_216.jpg,6
image_014.jpg,2
image_028.jpg,8
image_029.jpg,19
image_015.jpg,15
image_001.jpg,3
image_217.jpg,12
image_203.jpg,19
image_363.jpg,23
image_405.jpg,10
image_377.jpg,7
image_388.jpg,3
image_149.jpg,15
image_161.jpg,17
image_175.jpg,2
